Experiment,AE,VAE,VAE b=0,mVAE b=0.5,mVAE b=16
0 A; r N,0.033,0.040,0.030,0.035,0.091
1 A; r N,0.034,0.043,0.033,0.036,0.098
2 A; r N,0.0327,0.0399,0.0281,0.0324,0.0894
3 A; r N,0.0322,0.0397,0.0292,0.0328,0.0888
4 A; r N,0.0314,0.0401,0.0291,0.0333,0.0896
5 A; r N,0.0308,0.0391,0.0301,0.0332,0.0882
6 A; r N,0.0320,0.0412,0.0302,0.0340,0.0920
7 A; r N,0.0328,0.0403,0.0310,0.0339,0.0913
8 A; r N,0.0304,0.0382,0.0283,0.0322,0.0903
9 A; r N,0.0345,0.0414,0.0318,0.0354,0.0929
